epoch,G_loss,D_loss,L1_loss
1,36.683969,0.351640,0.345523
2,37.678794,0.260531,0.350169
3,38.262948,0.279560,0.355166
4,38.023001,0.293040,0.352812
5,37.709713,0.325223,0.350784
6,37.658765,0.292911,0.350777
7,37.430506,0.294121,0.348113
8,37.464167,0.312119,0.347253
9,37.203595,0.305871,0.345254
10,37.030132,0.311597,0.344792
11,36.479174,0.319934,0.339411
12,36.272252,0.329471,0.337788
13,35.916877,0.315766,0.334347
14,35.611881,0.334366,0.331795
15,35.662495,0.333668,0.332606
16,35.508592,0.342922,0.331477
17,35.345055,0.337717,0.329993
18,35.126980,0.324310,0.327588
19,35.282919,0.365683,0.329926
20,34.779659,0.335840,0.324716
21,34.594569,0.339200,0.322075
22,34.486757,0.327492,0.321273
23,34.396395,0.345926,0.320868
24,34.367045,0.340394,0.320345
25,34.024883,0.336754,0.317635
26,34.069138,0.333128,0.317015
27,33.734682,0.337951,0.313756
28,33.830129,0.337348,0.314773
29,33.292171,0.329124,0.309861
30,33.586995,0.350418,0.312395
31,33.351755,0.329350,0.310381
32,32.962397,0.345677,0.306377
33,32.713413,0.338563,0.304370
34,32.768129,0.335838,0.304588
35,32.555609,0.337553,0.302751
36,32.498211,0.341998,0.301027
37,32.174941,0.321152,0.297779
38,32.260045,0.344790,0.298779
39,31.888768,0.323363,0.295396
40,31.815555,0.329175,0.294415
41,31.790150,0.333502,0.293466
42,31.289121,0.337014,0.288966
43,31.208115,0.347890,0.288871
44,30.900344,0.309428,0.284329
45,30.904963,0.325843,0.284936
46,30.734110,0.337674,0.283421
47,30.699102,0.339525,0.283249
48,30.435377,0.325640,0.280232
49,30.346516,0.328062,0.278126
50,30.491033,0.323180,0.281223
51,30.124253,0.336678,0.276844
52,29.782286,0.327401,0.273294
53,29.665535,0.317965,0.271984
54,29.722194,0.329408,0.271971
55,29.315808,0.309333,0.267974
56,29.482282,0.342797,0.270228
57,29.188263,0.312944,0.267067
58,29.225377,0.320793,0.266658
59,28.982675,0.324490,0.264706
60,29.195635,0.301022,0.266101
61,28.884580,0.319949,0.263076
62,28.718543,0.312704,0.261203
63,28.615705,0.318709,0.261063
64,28.471714,0.314556,0.258562
65,28.561605,0.309144,0.259610
66,28.102401,0.321327,0.255194
67,28.551005,0.298849,0.258740
68,28.131130,0.323867,0.254965
69,27.827735,0.281674,0.251282
70,27.784681,0.330495,0.251192
71,27.675065,0.316182,0.250018
72,27.662215,0.295514,0.249971
73,27.621866,0.326520,0.249669
74,27.762837,0.300264,0.250465
75,27.343302,0.293205,0.246290
76,27.272607,0.308527,0.245748
77,26.929728,0.309143,0.242566
78,27.156870,0.305583,0.244333
79,26.979791,0.313086,0.243570
80,27.040351,0.282603,0.243091
81,27.033452,0.289555,0.242404
82,26.668942,0.284690,0.238770
83,26.908538,0.312369,0.240994
84,26.764085,0.288101,0.239902
85,26.442766,0.304359,0.236364
86,26.447317,0.303730,0.237124
87,26.422912,0.271412,0.235861
88,26.408466,0.288730,0.235375
89,26.235944,0.300376,0.233753
90,26.368747,0.305576,0.235232
91,26.154724,0.273850,0.232763
92,26.041519,0.299444,0.232151
93,25.939371,0.259433,0.230335
94,26.193628,0.291751,0.232905
95,25.864139,0.289394,0.229819
96,25.743054,0.285654,0.228394
97,25.588770,0.284112,0.226904
98,25.677787,0.278894,0.227312
99,25.863220,0.289562,0.228998
100,25.805581,0.262648,0.228185
101,25.653300,0.275983,0.226449
102,25.572579,0.279101,0.225753
103,25.554344,0.272183,0.225279
104,25.395163,0.310897,0.223926
105,25.191750,0.272805,0.222446
106,25.450358,0.274901,0.223967
107,25.143301,0.284239,0.221767
108,25.124016,0.243497,0.220887
109,25.070340,0.254346,0.219949
110,25.005864,0.273358,0.219360
111,25.372134,0.301261,0.221516
112,25.186193,0.238830,0.220499
113,25.014254,0.278624,0.218617
114,24.661313,0.261880,0.215819
115,24.820650,0.270456,0.217109
116,24.677717,0.263609,0.215788
117,24.843924,0.263973,0.217776
118,25.034302,0.265291,0.218525
119,24.777173,0.248704,0.215930
120,24.533560,0.277201,0.214298
121,24.705904,0.247059,0.215242
122,24.809019,0.234347,0.215825
123,24.600304,0.305010,0.213942
124,24.526464,0.255339,0.213981
125,24.573182,0.265794,0.213579
126,24.403927,0.248403,0.211424
127,24.371050,0.247963,0.211538
128,24.495547,0.301395,0.213584
129,24.408134,0.262884,0.212856
130,24.385837,0.242849,0.210656
131,24.327033,0.267332,0.210782
132,24.224577,0.247816,0.210049
133,24.372956,0.271870,0.210571
134,24.043574,0.278996,0.208404
135,24.296706,0.252543,0.210838
136,24.047568,0.253474,0.208215
137,24.128221,0.280895,0.208801
138,24.058249,0.246947,0.207810
139,23.914241,0.267452,0.206458
140,23.743549,0.274012,0.205112
141,23.694494,0.262137,0.204869
142,23.649011,0.262097,0.204186
143,24.087378,0.255756,0.208861
144,23.711443,0.244508,0.204142
145,23.719791,0.235896,0.203671
146,23.823435,0.282227,0.205656
147,23.617557,0.248711,0.203986
148,23.892267,0.255412,0.204838
149,23.812462,0.301490,0.205702
150,23.686619,0.239586,0.204323
151,23.826826,0.250508,0.204665
152,23.710534,0.259822,0.203312
153,23.474845,0.279183,0.202986
154,23.473566,0.288912,0.201789
155,23.556870,0.260574,0.202681
156,23.293384,0.244562,0.200594
157,23.364196,0.294263,0.200950
158,23.212836,0.272303,0.199751
159,23.378981,0.240321,0.200955
160,23.366713,0.262097,0.200575
161,23.471497,0.258961,0.202009
162,23.222173,0.284044,0.199091
163,23.190948,0.246131,0.199413
164,23.245196,0.258307,0.199793
165,23.085454,0.260798,0.198743
166,23.127592,0.273997,0.197577
167,23.090241,0.221275,0.198908
168,23.013491,0.273198,0.196742
169,22.993524,0.305215,0.196965
170,23.144871,0.264186,0.198911
171,23.122911,0.236621,0.197791
172,22.868811,0.255520,0.195823
173,22.880023,0.258211,0.195966
174,23.054597,0.249497,0.196776
175,22.951008,0.268346,0.196077
176,22.941888,0.265483,0.196238
177,22.762389,0.282472,0.194752
178,22.788528,0.243592,0.195758
179,23.084485,0.238819,0.197532
180,22.939050,0.282640,0.196535
181,22.726048,0.274876,0.194162
182,22.705788,0.267163,0.194627
183,22.791204,0.229511,0.194569
184,22.815588,0.254158,0.194624
185,22.757020,0.292712,0.194508
186,22.722491,0.235309,0.193843
187,22.763378,0.227960,0.193914
188,22.709938,0.310929,0.193792
189,22.644075,0.274771,0.192834
190,22.616204,0.244119,0.192916
191,22.472059,0.257257,0.190979
192,22.543857,0.284700,0.192528
193,22.714608,0.240823,0.192779
194,22.520963,0.291626,0.192750
195,22.559246,0.223726,0.192465
196,22.431870,0.258864,0.191059
197,22.429399,0.253960,0.191219
198,22.300501,0.271755,0.189662
199,22.533789,0.218833,0.191396
200,22.574286,0.278494,0.191419
